question,answer
自転車はバスに持ち込めますか？,専用ケース（輪行袋等）に収納している場合のみ、車内或はトランク内に持ち込み可能です。※トランクのないバスや車内が混み合っている場合は、お持ち込みをお断りすることもございます。
持ち込みの荷物の大きさは？,特に規定はありませんが、トランクケースより大きい荷物の場合は、しまバス（TEL：0997-52-0509）までご連絡下さいませ。
ペットをバスに乗せることが出来ますか？,小型犬など、専用のケースに入れていれば持ち込み可能です。※臭いや鳴き声が他のお客様のご迷惑になる場合、ご乗車をお断りすることがございます。
バスでの両替は？,50円・100円・500円硬貨、千円札の両替は運賃箱で可能です。1万円札・5千円札は対応しておりません。ご乗車前にご用意ください。
「路線バス乗り放題券」・「バス回数券」・「バス定期券」はどこで売ってる？,詳しくは「各種乗車券・定期券・回数券のページ」をご覧下さい。
「各種乗車券」を紛失してしまった？,再発行はできませんので再購入となります。見つかった場合、残りの期間により払い戻し可能な場合があるため、しまバス（TEL：0997-52-0509）までご連絡下さい。
「各種乗車券」の払い戻しの方法は？,詳しくは「各種乗車券・定期券・回数券のページ」をご覧下さい。
バス車内にて運賃証明書・領収証は発行出来ますか？,運賃証明書はしまバスにて対応、領収証は本社営業所・港町待合所で発行可能です。バス車内では発行しておりません。
バス車内にて、運賃の支払い時、１円玉や５円玉は使えますか？,１円玉・５円玉でも運賃のお支払いが可能です。
子供運賃・障害者運賃については？,詳しくは「小児・福祉運賃の取り扱いのページ」をご覧下さい。
バス車内にての運賃の支払い方は？,しまバスは3パターンの乗車方式があります。ご乗車時に整理券を取り、下車時に運賃と共に投入してください。お釣りは出ません。
